STUDENT ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,COURSE ID,GRADE,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,"Marital status;Application mode;Application order;Course;""Daytime/evening attendance	"";Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target",Interest,Aptitude,SoftSkills,Logic
STUDENT1,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,GP,F,18.0,U,GT3,A,4.0,4.0,at_home,teacher,course,mother,2.0,2.0,0.0,yes,no,no,no,yes,yes,no,no,4.0,3.0,4.0,1.0,1.0,3.0,6.0,5.0,6.0,6.0,1;17;5;171;1;1;122.0;1;19;12;5;9;127.3;1;0;0;1;1;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Dropout,4,9.668454997992853,2.685000761974954,1.1180037123393716
STUDENT2,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,GP,F,17.0,U,GT3,T,1.0,1.0,at_home,other,course,father,1.0,2.0,0.0,no,yes,no,no,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,6.0,1;15;1;9254;1;1;160.0;1;1;3;3;3;142.5;1;0;0;0;1;0;19;0;0;6;6;6;14.0;0;0;6;6;6;13.666666666666666;0;13.9;-0.3;0.79;Graduate,5,2.242934832850451,6.542357799453179,5.6528895995398205
STUDENT3,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,GP,F,15.0,U,LE3,T,1.0,1.0,at_home,other,other,mother,1.0,2.0,3.0,yes,no,yes,no,yes,yes,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,10.0,7.0,8.0,10.0,1;1;5;9070;1;1;122.0;1;37;37;9;9;124.8;1;0;0;0;1;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;10.8;1.4;1.74;Dropout,3,6.630471918034225,5.336169313092109,2.486918094711351
STUDENT4,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,GP,F,15.0,U,GT3,T,4.0,2.0,health,services,home,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,3.0,2.0,2.0,1.0,1.0,5.0,2.0,15.0,14.0,15.0,1;17;2;9773;1;1;122.0;1;38;37;5;3;119.6;1;0;0;1;0;0;20;0;0;6;8;6;13.428571428571429;0;0;6;10;5;12.4;0;9.4;-0.8;-3.12;Graduate,5,7.418963269587151,9.440412782809274,4.3171688502661105
STUDENT5,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,GP,F,16.0,U,GT3,T,3.0,3.0,other,other,home,father,1.0,2.0,0.0,no,yes,yes,no,yes,yes,no,no,4.0,3.0,2.0,1.0,2.0,5.0,4.0,6.0,10.0,10.0,2;39;1;8014;0;1;100.0;1;37;38;9;9;141.5;0;0;0;1;0;0;45;0;0;6;9;5;12.333333333333334;0;0;6;6;6;13.0;0;13.9;-0.3;0.79;Graduate,5,8.484253790905248,3.962772624917006,6.340505083067194
STUDENT6,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,2.0,GP,M,16.0,U,LE3,T,4.0,3.0,services,other,reputation,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15.0,15.0,15.0,2;39;1;9991;0;19;133.1;1;37;37;9;7;114.8;0;0;1;1;1;0;50;0;0;5;10;5;11.857142857142858;0;0;5;17;5;11.5;5;16.2;0.3;-0.92;Graduate,2,4.226291970136091,6.938633423283945,2.569859378537811
STUDENT7,1.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,5.0,GP,M,16.0,U,LE3,T,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,12.0,12.0,11.0,1;1;1;9500;1;1;142.0;1;19;38;7;10;128.4;1;0;0;1;0;1;18;0;0;7;9;7;13.3;0;0;8;8;8;14.345;0;15.5;2.8;-4.06;Graduate,3,3.0293090564042924,4.893227474751214,0.5218505779676108
STUDENT8,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,GP,F,17.0,U,GT3,A,4.0,4.0,other,teacher,home,mother,2.0,2.0,0.0,yes,yes,no,no,yes,yes,no,no,4.0,1.0,4.0,1.0,1.0,1.0,6.0,6.0,5.0,6.0,1;18;4;9254;1;1;119.0;1;37;37;9;9;113.1;1;0;0;0;1;0;22;0;0;5;5;0;0.0;0;0;5;5;0;0.0;0;15.5;2.8;-4.06;Dropout,3,3.252951340230311,5.125762159242116,0.10233856408757513
STUDENT9,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,5.0,GP,M,15.0,U,LE3,A,3.0,2.0,services,other,home,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,16.0,18.0,19.0,1;1;3;9238;1;1;137.0;62;1;1;9;9;129.3;0;0;0;1;0;1;21;1;0;6;8;6;13.875;0;0;6;7;6;14.142857142857142;0;16.2;0.3;-0.92;Graduate,3,7.126213330985128,2.677743146041175,0.22159535544521547
STUDENT10,2.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,GP,M,15.0,U,GT3,T,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,14.0,15.0,15.0,1;1;1;9238;1;1;138.0;1;1;19;4;7;123.0;1;0;1;0;0;0;18;0;0;6;9;5;11.4;0;0;6;14;2;13.5;0;8.9;1.4;3.51;Dropout,5,8.16779466505636,4.549507768419997,0.08349737513769662
